# List of recognized GUI environments
# ID            Human-readable name
#
android            Android
cinnamon           Cinnamon
dde                Deepin
ede                EDE
gnome              GNOME
gnome:dark         GNOME (Dark)
ios                iOS
lxde               LXDE
lxqt               LXQt
macos              macOS
mate               Mate
pantheon           Pantheon
pantheon:dark      Pantheon (Dark)
plasma             KDE Plasma
plasma-mobile      Plasma Mobile
plasma-mobile:dark Plasma Mobile (Dark)
plasma:dark        KDE Plasma (Dark)
razor              Razor
rox                Rox
unity              Unity
windows            Microsoft Windows
xfce               Xfce
